adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8,adc9,adc10,adc11,adc12,adc13,adc14,adc15,adc16,adc17,adc18,adc19,adc20,adc21,adc22,adc23,adc24,adc25,adc26,adc27,adc28,adc29,adc30,adc31,adc32,adc33,adc34,adc35,adc36,adc37,adc38,adc39,adc40,adc41,adc42,adc43,adc44,adc45,adc46,adc47,adc48,adc49,adc50,adc51,adc52,adc53,adc54,adc55,adc56,adc57,adc58,adc59,adc60,adc61,adc62,adc63,adc64,estimated_mass_g,avg_force,max_force
0.393407,0.321123,0.262271,0.208303,0.152381,0.080586,0.052015,0.066422,0.086447,0.09768,0.092552,0.089621,0.086691,0.218559,0.22149,0.263004,0.269109,0.219536,0.179976,0.14188,0.096947,0.050794,0.035653,0.049573,0.072772,0.083272,0.079365,0.081319,0.081563,0.203907,0.225885,0.262027,0.260317,0.215629,0.175824,0.140415,0.098901,0.039316,0.035165,0.049573,0.072527,0.082051,0.082051,0.081807,0.079609,0.201954,0.226129,0.257631,0.254212,0.214896,0.157753,0.139683,0.093529,0.043712,0.035409,0.048352,0.086203,0.083272,0.078632,0.079121,0.086935,0.202442,0.22442,0.261538,1384.38,0.140862,0.393407
0.389255,0.317949,0.262271,0.209524,0.151648,0.083272,0.060806,0.067155,0.089621,0.097924,0.097436,0.089866,0.085958,0.211233,0.23199,0.259096,0.258608,0.218071,0.186325,0.142369,0.100611,0.062759,0.040537,0.050794,0.067399,0.0884,0.083272,0.084249,0.079853,0.208303,0.226374,0.263492,0.255678,0.214896,0.175824,0.14188,0.097924,0.052991,0.050794,0.050794,0.062027,0.085714,0.083272,0.078632,0.079853,0.210989,0.226618,0.261294,0.25641,0.216606,0.176068,0.136996,0.105495,0.050549,0.035897,0.050061,0.073504,0.085958,0.074237,0.080098,0.082051,0.18486,0.226862,0.265201,1380.98,0.142132,0.389255
0.382906,0.312332,0.256166,0.203907,0.147497,0.079853,0.055922,0.065201,0.086203,0.094505,0.090598,0.087424,0.083761,0.207082,0.226374,0.261538,0.253968,0.212698,0.172405,0.137241,0.09768,0.049328,0.035165,0.048352,0.071062,0.08254,0.080586,0.079609,0.078144,0.202686,0.222711,0.258608,0.25177,0.210989,0.171429,0.136752,0.09768,0.050061,0.035165,0.048107,0.071795,0.083028,0.081563,0.079609,0.078144,0.20293,0.223443,0.259829,0.252747,0.211233,0.171429,0.136752,0.09768,0.050305,0.035165,0.048352,0.071306,0.082784,0.081319,0.079365,0.078388,0.20293,0.223443,0.260073,1341.27,0.1389,0.382906
0.293773,0.249573,0.183639,0.139438,0.094017,0.042979,0.028571,0.043223,0.054457,0.062515,0.103785,0.113797,0.10696,0.209524,0.214896,0.231013,0.226129,0.192918,0.141148,0.10525,0.067399,0.02735,0.012943,0.030037,0.038828,0.049573,0.092552,0.105495,0.097436,0.204884,0.208547,0.226374,0.220269,0.191697,0.139438,0.104029,0.067155,0.027106,0.014164,0.02906,0.038584,0.047863,0.092796,0.105739,0.101099,0.206349,0.208547,0.234432,0.230037,0.203419,0.148718,0.111111,0.073748,0.029548,0.015629,0.033455,0.045177,0.054457,0.09768,0.111355,0.106227,0.210256,0.211477,0.239316,967.58,0.121078,0.293773
0.523565,0.468864,0.347985,0.246154,0.167277,0.075946,0.04884,0.066667,0.08547,0.083761,0.127473,0.133578,0.124298,0.246154,0.242247,0.275214,0.284005,0.24591,0.172161,0.117216,0.074481,0.02735,0.011966,0.035165,0.054945,0.059096,0.107204,0.117705,0.115507,0.244689,0.23956,0.271795,0.281563,0.249573,0.175824,0.120635,0.077656,0.028571,0.014408,0.037118,0.055922,0.060317,0.108669,0.118437,0.116239,0.246154,0.240049,0.273504,0.283028,0.262271,0.183639,0.128938,0.082051,0.031258,0.017338,0.039805,0.059096,0.062515,0.10989,0.121123,0.116972,0.246886,0.246642,0.278632,1850.46,0.154953,0.523565
0.367277,0.29475,0.242002,0.204884,0.167521,0.109402,0.096703,0.100366,0.111844,0.095238,0.082051,0.072039,0.061294,0.171917,0.195849,0.210012,0.213187,0.165324,0.136752,0.113797,0.090598,0.050794,0.045421,0.054212,0.068864,0.062759,0.055189,0.048596,0.042979,0.171673,0.198291,0.212698,0.214896,0.16801,0.138462,0.115507,0.092308,0.052015,0.04884,0.05812,0.072772,0.066422,0.057387,0.050549,0.042979,0.174115,0.20293,0.218071,0.220513,0.173138,0.14359,0.119902,0.095971,0.054457,0.052503,0.058608,0.074237,0.067643,0.061294,0.05812,0.046886,0.179487,0.207326,0.222222,1195.91,0.123806,0.367277
0.420513,0.336996,0.249573,0.20293,0.169719,0.103053,0.07033,0.0779,0.074237,0.066422,0.086203,0.08547,0.076923,0.184371,0.205372,0.234432,0.222711,0.175824,0.127473,0.10232,0.082784,0.046886,0.031258,0.043712,0.043223,0.04127,0.071062,0.074237,0.066667,0.181197,0.214652,0.244933,0.232234,0.184127,0.133822,0.108669,0.088645,0.050061,0.034188,0.046154,0.046398,0.042247,0.066422,0.067155,0.06105,0.166789,0.197802,0.228083,0.217827,0.171917,0.122833,0.100366,0.081807,0.046886,0.031258,0.0442,0.043223,0.040049,0.063736,0.065446,0.057875,0.16801,0.199756,0.231746,1340.99,0.122741,0.420513
0.35873,0.289377,0.224908,0.186081,0.158242,0.088156,0.055433,0.064957,0.089621,0.080342,0.074237,0.069109,0.074969,0.205372,0.203663,0.219536,0.228083,0.18315,0.139927,0.113309,0.096215,0.049573,0.02735,0.037363,0.06569,0.061294,0.058608,0.056166,0.06398,0.199267,0.202686,0.219292,0.228327,0.182906,0.140415,0.114042,0.096947,0.050794,0.030525,0.040293,0.068132,0.065934,0.06105,0.05812,0.054945,0.195116,0.196337,0.214896,0.224176,0.179731,0.136996,0.1116,0.09768,0.05177,0.030769,0.044444,0.072039,0.068132,0.063248,0.061538,0.058608,0.198046,0.201465,0.221978,1165.44,0.122901,0.35873
0.423443,0.421978,0.392674,0.349451,0.289866,0.24884,0.209768,0.188278,0.173382,0.175824,0.16801,0.162393,0.136752,0.183639,0.222711,0.262027,0.245421,0.262027,0.247131,0.225153,0.182173,0.16044,0.137485,0.131136,0.124786,0.13602,0.132112,0.132357,0.110379,0.164591,0.208791,0.254457,0.242735,0.260073,0.244689,0.222711,0.179731,0.160195,0.137485,0.130647,0.124298,0.134554,0.13138,0.132357,0.109646,0.164835,0.209768,0.253968,0.242002,0.259096,0.244444,0.222222,0.178999,0.159951,0.136752,0.129426,0.122833,0.133578,0.12967,0.130159,0.108181,0.159951,0.202686,0.246154,1834.35,0.195448,0.423443
0.223932,0.167277,0.100855,0.070818,0.042735,0.037118,0.021978,0.023687,0.018559,0.02735,0.022955,0.023199,0.010012,0.070818,0.09768,0.11453,0.089377,0.073748,0.042002,0.02735,0.006349,0.007326,0.0,0.00464,0.003419,0.016117,0.015873,0.018315,0.005617,0.069109,0.096947,0.116728,0.095482,0.078144,0.043223,0.027839,0.007326,0.00757,0.0,0.004151,0.003907,0.017827,0.019048,0.01978,0.008059,0.071551,0.098901,0.120391,0.09768,0.078632,0.043712,0.028083,0.007326,0.007326,0.0,0.005372,0.003663,0.017338,0.017094,0.019292,0.006593,0.07033,0.098413,0.117949,263.41,0.045444,0.223932
0.401221,0.251282,0.183639,0.150183,0.114286,0.084005,0.064957,0.060317,0.078144,0.045177,0.047619,0.05348,0.048352,0.164347,0.187546,0.215385,0.222466,0.131624,0.090598,0.072772,0.053236,0.035165,0.024664,0.025885,0.047375,0.02735,0.032479,0.040781,0.037851,0.157509,0.180952,0.210989,0.218071,0.129182,0.083761,0.066422,0.049084,0.030769,0.020024,0.023443,0.045421,0.025397,0.03199,0.040537,0.038339,0.15873,0.182173,0.210256,0.218559,0.128938,0.090598,0.072527,0.053236,0.035165,0.023932,0.026129,0.047131,0.026862,0.034188,0.042002,0.038828,0.16044,0.183639,0.212454,1122.67,0.098279,0.401221
0.587302,0.445421,0.36337,0.284737,0.191941,0.121612,0.096703,0.100855,0.09939,0.086447,0.082784,0.073748,0.054457,0.14359,0.168254,0.218071,0.217094,0.149451,0.116239,0.087668,0.051526,0.026618,0.022711,0.03663,0.037607,0.040293,0.043223,0.03956,0.028816,0.117705,0.142857,0.195604,0.196093,0.130647,0.100366,0.074481,0.043468,0.019536,0.015873,0.031013,0.031258,0.035165,0.040537,0.037363,0.027839,0.127473,0.150183,0.202442,0.201709,0.137485,0.106227,0.078388,0.046398,0.021001,0.017827,0.031746,0.032967,0.035897,0.04127,0.038339,0.028571,0.116972,0.144567,0.19707,1729.94,0.10957,0.587302
0.492796,0.345543,0.203419,0.14188,0.078877,0.039072,0.02735,0.041514,0.05641,0.053968,0.049573,0.046154,0.048107,0.132112,0.147009,0.191697,0.19707,0.123565,0.064225,0.039316,0.013431,0.0,0.0,0.013431,0.030281,0.035897,0.039072,0.039316,0.043223,0.127717,0.148474,0.19536,0.199756,0.124786,0.066422,0.040049,0.014896,0.0,0.0,0.015873,0.033944,0.037607,0.039072,0.038095,0.043712,0.128449,0.149695,0.196093,0.199512,0.127473,0.066422,0.040781,0.014652,0.0,0.0,0.016117,0.034676,0.039072,0.041514,0.04127,0.044933,0.129182,0.1558,0.203175,1300.98,0.085764,0.492796
0.501587,0.351648,0.199267,0.131136,0.077656,0.043712,0.027839,0.043712,0.062515,0.057387,0.050794,0.042979,0.047863,0.123565,0.146032,0.196093,0.203907,0.12967,0.063736,0.035165,0.013187,0.0,0.0,0.013431,0.035165,0.039316,0.039805,0.035165,0.042979,0.121123,0.144322,0.195604,0.203175,0.128938,0.063736,0.035165,0.012454,0.0,0.0,0.013431,0.035165,0.039072,0.039316,0.035165,0.042491,0.120879,0.142857,0.19536,0.201709,0.128694,0.062515,0.034676,0.01221,0.0,0.0,0.013431,0.042979,0.04127,0.039072,0.038828,0.042735,0.1221,0.143834,0.195116,1321.3,0.085043,0.501587
0.504274,0.345299,0.200488,0.160928,0.132845,0.096459,0.074481,0.075458,0.087424,0.136264,0.113309,0.101099,0.091087,0.198046,0.192674,0.230525,0.230525,0.148962,0.079365,0.062027,0.050549,0.033944,0.02735,0.042735,0.058608,0.113309,0.097924,0.089133,0.082051,0.191453,0.189499,0.23663,0.236142,0.152381,0.082295,0.063248,0.05177,0.034188,0.02735,0.040781,0.055189,0.10696,0.094505,0.088645,0.079853,0.183883,0.183639,0.229792,0.22906,0.148962,0.079365,0.061294,0.049328,0.031258,0.025885,0.039072,0.054457,0.105495,0.096215,0.089621,0.080098,0.184371,0.182418,0.222711,1581.44,0.12289,0.504274
0.520879,0.357021,0.199756,0.146276,0.11453,0.081563,0.060806,0.07033,0.093773,0.097192,0.083272,0.073748,0.064713,0.174603,0.206838,0.253724,0.270085,0.166789,0.085226,0.061294,0.047863,0.030769,0.023199,0.037607,0.06398,0.074969,0.07033,0.062515,0.056166,0.157021,0.191453,0.238828,0.259585,0.159951,0.082051,0.055678,0.043956,0.029548,0.021978,0.035897,0.062515,0.071795,0.067399,0.058852,0.054945,0.14652,0.183639,0.231502,0.249573,0.15409,0.079121,0.053724,0.044444,0.030769,0.02442,0.039316,0.065201,0.068864,0.06398,0.055189,0.050549,0.136752,0.161661,0.211722,1569.22,0.113942,0.520879
0.451526,0.274725,0.147497,0.115995,0.092308,0.062515,0.040049,0.042491,0.043712,0.064957,0.050061,0.046886,0.041026,0.159463,0.180464,0.221245,0.214896,0.116239,0.053236,0.038095,0.025885,0.011722,0.002442,0.010256,0.014164,0.045421,0.038584,0.037118,0.032723,0.152869,0.176557,0.218315,0.21221,0.115018,0.052503,0.038095,0.026618,0.011966,0.004396,0.011722,0.016117,0.046154,0.040049,0.039072,0.034921,0.152137,0.177045,0.218559,0.21221,0.115018,0.052503,0.037851,0.026129,0.012943,0.006838,0.012943,0.01685,0.046886,0.040537,0.039072,0.035165,0.152381,0.178999,0.219292,1197.25,0.087901,0.451526
0.483272,0.328205,0.186569,0.119414,0.089377,0.051282,0.030037,0.0442,0.067888,0.072039,0.067399,0.057387,0.058608,0.157753,0.176557,0.225397,0.241026,0.14823,0.077656,0.042979,0.030281,0.011233,0.000488,0.019536,0.0442,0.055922,0.057631,0.050061,0.05177,0.152137,0.173626,0.223443,0.238339,0.147009,0.076923,0.042979,0.028083,0.009524,0.0,0.019536,0.043223,0.054457,0.057143,0.049573,0.050794,0.149206,0.171917,0.22149,0.235409,0.144811,0.074237,0.04127,0.02735,0.008303,0.0,0.018559,0.040049,0.052015,0.055922,0.049328,0.050794,0.150672,0.173138,0.222711,1358.33,0.098443,0.483272
